Rk,Player,WAR/pos,WAA/pos,From,To,Age,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos,Tm
59,Carlton Fisk\fiskca01,68.4,35.3,1969,1993,21-45,2499,9853,8756,1276,2356,421,47,376,1330,849,105,1386,143,26,79,204,128,58,.269,.341,.457,.797,*2DH/735,BOS-CHW
60,Elmer Flick\flickel01,53.0,29.6,1898,1910,22-34,1483,6431,5597,950,1752,268,164,48,756,597,,567,99,121,,,330,,.313,.389,.445,.834,*98/4H7,PHI-PHA-CLE
61,Nellie Fox\foxne01,49.5,18.9,1947,1965,19-37,2367,10351,9232,1279,2663,355,112,35,790,719,30,216,142,208,48,175,76,80,.288,.348,.363,.710,*4/H53,PHA-CHW-HOU
62,Jimmie Foxx\foxxji01,93.1,59.9,1925,1945,17-37,2317,9677,8134,1751,2646,458,125,534,1922,1452,16,1311,13,71,,69,87,76,.325,.428,.609,1.038,*3H52/7916,PHA-BOS-CHC-PHI
63,Frankie Frisch\friscfr01,70.8,39.5,1919,1937,21-39,2311,10101,9112,1532,2880,466,138,105,1244,728,,272,31,229,,55,419,74,.316,.369,.432,.801,*45/6H,NYG-STL
64,Lou Gehrig\gehrilo01,114.1,80.2,1923,1939,20-36,2164,9665,8001,1888,2721,534,163,493,1995,1508,,790,45,106,,2,102,100,.340,.447,.632,1.080,*3/H976,NYY
65,Charlie Gehringer\gehrich01,83.8,48.5,1924,1942,21-39,2323,10245,8860,1775,2839,574,146,184,1427,1186,5,372,50,141,,27,181,90,.320,.404,.480,.884,*4H/35,DET
66,Joe Gordon\gordojo01,55.7,35.8,1938,1950,23-35,1566,6537,5707,914,1530,264,52,253,975,759,66,702,29,41,,159,89,60,.268,.357,.466,.822,*4/3H6,NYY-CLE
67,Goose Goslin\gosligo01,66.2,30.6,1921,1938,20-37,2287,9830,8656,1482,2735,500,173,248,1612,949,,585,55,162,,,176,89,.316,.387,.500,.887,*79H/835,WSH-SLB-DET
68,Rich Gossage\gossari01,-0.5,-0.5,1972,1994,20-42,388,93,85,1,9,1,0,0,2,4,0,37,0,4,0,2,0,0,.106,.146,.118,.264,*1/HD,CHW-PIT-NYY-SDP-CHC-SFG-OAK-SEA
69,Hank Greenberg\greenha01,55.7,35.1,1930,1947,19-36,1394,6098,5193,1046,1628,379,71,331,1274,852,24,844,16,35,,66,58,30,.313,.412,.605,1.017,*37/H,DET-PIT
70,Ken Griffey Jr.\griffke02,83.8,46.8,1989,2010,19-40,2671,11304,9801,1662,2781,524,38,630,1836,1312,246,1779,81,8,102,199,184,69,.284,.370,.538,.907,*89DH/73,SEA-CIN-CHW
71,Vladimir Guerrero\guerrvl01,59.5,29.5,1996,2011,21-36,2147,9059,8155,1328,2590,477,46,449,1496,737,250,985,103,0,64,277,181,94,.318,.379,.553,.931,*9D/H87,MON-ANA-LAA-TEX-BAL
72,Tony Gwynn\gwynnto01,69.2,36.8,1982,2001,22-41,2440,10232,9288,1383,3141,543,85,135,1138,790,203,434,24,45,85,259,319,125,.338,.388,.459,.847,*98H/7D,SDP
73,Chick Hafey\hafeych01,31.1,14.8,1924,1937,21-34,1283,5116,4625,777,1466,341,67,164,833,372,,477,33,83,,28,70,7,.317,.372,.526,.898,*789H,STL-CIN
74,Jesse Haines\haineje01,-3.2,-3.2,1918,1937,24-43,560,1215,1124,76,209,23,2,3,79,30,,246,1,59,,1,2,0,.186,.208,.218,.426,*1/H3,CIN-STL
75,Billy Hamilton\hamilbi01,63.3,39.4,1888,1901,22-35,1594,7609,6283,1697,2164,242,95,40,742,1189,,362,89,47,,,914,,.344,.455,.432,.888,*879,KCC-PHI-BSN
76,Gabby Hartnett\hartnga01,56.9,33.1,1922,1941,21-40,1990,7300,6432,867,1912,396,64,236,1179,703,1,697,35,127,,93,28,8,.297,.370,.489,.858,*2H/3,CHC-NYG
77,Harry Heilmann\heilmha01,72.1,38.6,1914,1932,19-37,2147,8972,7787,1291,2660,542,151,183,1543,856,,550,40,277,,,113,64,.342,.410,.520,.930,*93H/847,DET-CIN
78,Rickey Henderson\henderi01,111.2,68.9,1979,2003,20-44,3081,13346,10961,2295,3055,510,66,297,1115,2190,61,1694,98,30,67,172,1406,335,.279,.401,.419,.820,*78HD/9,NYY-TOR-OAK-ANA-NYM-SEA-SDP-BOS-LAD
79,Billy Herman\hermabi01,56.0,27.8,1931,1947,21-37,1922,8641,7707,1163,2345,486,82,47,839,737,24,428,26,171,,191,67,16,.304,.367,.407,.774,*4/53H,CHC-BSN-BRO-PIT
80,Harry Hooper\hoopeha01,53.2,15.4,1909,1925,21-37,2309,10277,8785,1429,2466,389,160,75,816,1136,,582,76,247,,,375,141,.281,.368,.387,.755,*9/7H81,BOS-CHW
81,Rogers Hornsby\hornsro01,127.1,97.6,1915,1937,19-41,2259,9481,8173,1579,2930,541,169,301,1584,1038,,679,48,216,,3,135,64,.358,.434,.577,1.010,*465H/3978,STL-NYG-BSN-CHC-SLB
82,Catfish Hunter\hunteca01,4.6,4.5,1965,1976,19-30,304,710,658,60,149,16,3,6,51,8,0,160,0,39,5,10,2,0,.226,.234,.287,.521,*1/H3,KCA-OAK-NYY
83,Reggie Jackson\jacksre01,74.0,35.4,1967,1987,21-41,2820,11418,9864,1551,2584,463,49,563,1702,1375,164,2597,96,13,68,183,228,115,.262,.356,.490,.846,*9D8H/7,KCA-OAK-BAL-NYY-CAL
84,Travis Jackson\jackstr01,43.7,22.4,1922,1936,18-32,1656,6682,6086,833,1768,291,86,135,929,412,,565,10,171,,39,71,13,.291,.337,.433,.770,*65/H94,NYG
85,Hughie Jennings\jennihu01,42.3,23.3,1891,1918,22-49,1284,5648,4895,992,1526,232,88,18,840,347,,234,287,119,,,359,0,.312,.391,.406,.797,*63/49H57,LOU-BLN-BRO-PHI-DET
86,Derek Jeter\jeterde01,71.3,29.9,1995,2014,21-40,2747,12602,11195,1923,3465,544,66,260,1311,1082,39,1840,170,97,58,287,358,97,.310,.377,.440,.817,*6/DH,NYY
87,Randy Johnson\johnsra05,-2.5,-2.5,1988,2009,24-45,273,691,625,20,78,14,0,1,40,19,0,296,2,44,1,10,0,0,.125,.153,.152,.305,*1/7,MON-HOU-SEA-ARI-NYY-SFG
88,Walter Johnson\johnswa01,12.7,12.1,1907,1927,19-39,934,2534,2324,241,547,94,41,24,255,110,,419,13,70,,,13,4,.235,.274,.342,.616,*1H/8974,WSH
89,Chipper Jones\jonesch06,85.3,53.4,1993,2012,21-40,2499,10614,8984,1619,2726,549,38,468,1623,1512,177,1409,18,3,97,253,150,46,.303,.401,.529,.930,*57/H6D9,ATL
90,Addie Joss\jossad01,-2.3,-2.4,1902,1910,22-30,296,919,817,46,118,21,6,1,51,54,,297,1,39,,,10,,.144,.198,.188,.387,*1/385,CLE
91,Al Kaline\kalinal01,92.8,55.6,1953,1974,18-39,2834,11597,10116,1622,3007,498,75,399,1582,1277,133,1020,55,45,104,271,137,65,.297,.376,.480,.855,*98HD3/75,DET
92,Tim Keefe\keefeti01,-2.3,-2.5,1880,1893,23-36,618,2262,2083,248,390,60,38,12,134,175,,411,4,,,,13,,.187,.252,.270,.521,*1/89574,TRO-NYP-NYG-NYI-PHI
93,Willie Keeler\keelewi01,54.3,21.0,1892,1910,20-38,2123,9616,8591,1719,2932,241,145,33,810,524,,136,129,366,,,495,,.341,.388,.415,.802,*9/5H4786,NYG-BLN-BRO-NYY
94,George Kell\kellge01,37.6,15.3,1943,1957,20-34,1795,7529,6702,880,2054,385,50,78,870,621,33,287,36,149,20,188,51,36,.306,.367,.414,.781,*5/3H794,PHA-DET-BOS-CHW-BAL
95,Joe Kelley\kellejo01,50.5,23.0,1891,1908,19-36,1853,8161,7006,1421,2220,358,194,65,1194,911,,430,82,140,,,443,,.317,.402,.451,.853,*783/546H9,BSN-PIT-BLN-BRO-BLA-CIN
96,High Pockets Kelly\kellyge01,24.9,4.2,1915,1932,19-36,1622,6570,5993,819,1778,337,76,148,1020,386,,694,28,158,,,65,43,.297,.342,.452,.794,*34/H79851,PIT-NYG-CIN-CHC-BRO
97,King Kelly\kellyki01,47.0,25.7,1878,1893,20-35,1456,6457,5896,1357,1813,359,102,69,950,549,,418,12,,,,368,,.307,.368,.438,.806,*92/5643187,CIN-CHC-BSN-CKK-BOS-NYG
98,Harmon Killebrew\killeha01,60.4,28.2,1954,1975,18-39,2435,9833,8147,1283,2086,290,24,573,1584,1559,160,1699,48,0,77,243,19,18,.256,.376,.509,.884,357DH/49,WSH-MIN-KCR
99,Ralph Kiner\kinerra01,47.9,24.3,1946,1955,23-32,1472,6256,5205,971,1451,216,39,369,1015,1011,90,749,24,9,7,126,22,18,.279,.398,.548,.946,*7/83H,PIT-CHC-CLE
100,Chuck Klein\kleinch01,46.0,22.9,1928,1944,23-39,1753,7172,6486,1168,2076,398,74,300,1201,601,2,521,12,69,,55,79,2,.320,.379,.543,.922,*97H/83,CHC-PIT-PHI
101,Nap Lajoie\lajoina01,107.3,67.8,1896,1916,21-41,2480,10468,9590,1504,3243,657,163,82,1599,516,,347,134,221,,,380,26,.338,.380,.466,.846,*43/6H5978,PHI-PHA-CLE
102,Barry Larkin\larkiba01,70.5,42.5,1986,2004,22-40,2180,9057,7937,1329,2340,441,76,198,960,939,66,817,55,59,67,178,379,77,.295,.371,.444,.815,*6H/4D,CIN
103,Tony Lazzeri\lazzeto01,47.3,20.9,1926,1939,22-35,1740,7314,6297,986,1840,334,115,178,1194,869,,864,21,116,,8,148,79,.292,.380,.467,.846,*45/6H73,NYY-CHC-BRO-NYG
104,Bob Lemon\lemonbo01,10.7,10.3,1941,1958,20-37,615,1330,1183,148,274,54,9,37,147,93,0,241,2,49,3,9,2,1,.232,.288,.386,.674,*1H/859,CLE
105,Freddie Lindstrom\lindsfr01,27.5,8.5,1924,1936,18-30,1438,6109,5611,895,1747,301,81,103,779,334,,276,13,146,,35,84,10,.311,.351,.449,.800,*587/9H46,NYG-PIT-CHC-BRO
106,Ernie Lombardi\lombaer01,39.5,18.0,1931,1947,23-39,1853,6353,5855,601,1792,277,27,190,990,430,50,262,46,18,,261,8,4,.306,.358,.460,.818,*2H,BRO-CIN-BSN-NYG
107,Ted Lyons\lyonste01,3.6,3.3,1923,1946,22-45,705,1729,1563,162,364,49,9,5,149,73,0,201,7,83,,9,0,1,.233,.270,.285,.556,*1H/9,CHW
108,Mickey Mantle\mantlmi01,110.2,79.3,1951,1968,19-36,2401,9910,8102,1676,2415,344,72,536,1509,1733,148,1710,13,14,47,113,153,38,.298,.421,.557,.977,*8397H/645,NYY
109,Heinie Manush\manushe01,47.2,16.9,1923,1939,21-37,2008,8422,7654,1288,2524,491,160,110,1183,506,,345,70,186,,11,113,59,.330,.377,.479,.856,*78H9/3,DET-SLB-WSH-BOS-BRO-PIT
110,Rabbit Maranville\maranra01,42.9,7.7,1912,1935,20-43,2670,11260,10078,1256,2605,380,177,28,884,839,,756,39,300,,21,291,112,.258,.318,.340,.658,*64/H5,PIT-CHC-BRO-STL-BSN
111,Edgar Martinez\martied01,68.4,38.5,1987,2004,24-41,2055,8674,7213,1219,2247,514,15,309,1261,1283,113,1202,89,10,77,190,49,30,.312,.418,.515,.933,*D5/H3,SEA
112,Eddie Mathews\matheed01,96.2,58.4,1952,1968,20-36,2391,10101,8537,1509,2315,354,72,512,1453,1444,142,1487,26,36,58,123,68,39,.271,.376,.509,.885,*53/H7,BSN-MLN-ATL-HOU-DET
113,Christy Mathewson\mathech01,6.2,6.1,1900,1916,19-35,647,1900,1687,151,362,50,12,7,167,116,,218,17,69,,,20,1,.215,.272,.271,.543,*1/397H,CIN-NYG
114,Willie Mays\mayswi01,156.2,110.1,1951,1973,20-42,2992,12497,10881,2062,3283,523,140,660,1903,1464,214,1526,44,13,91,251,338,103,.302,.384,.557,.941,*8H/39675,NYG-SFG-NYM
115,Bill Mazeroski\mazerbi01,36.5,5.1,1956,1972,19-35,2163,8379,7755,769,2016,294,62,138,853,447,110,706,20,87,70,194,27,23,.260,.299,.367,.667,*4/H5,PIT
116,Tommy McCarthy\mccarto01,16.2,0.2,1884,1896,20-32,1273,5739,5120,1066,1493,191,53,44,732,536,,185,50,33,,,468,,.292,.364,.375,.740,*97/45861,BOS-PHI-STL-BSN-BRO
117,Willie McCovey\mccovwi01,64.5,30.5,1959,1980,21-42,2588,9692,8197,1229,2211,353,46,521,1555,1345,260,1550,69,5,70,176,26,22,.270,.374,.515,.889,*3H7/9D,SFG-OAK-SDP
118,Joe McGinnity\mcginjo01,-2.9,-3.1,1899,1908,28-37,477,1424,1297,109,251,21,10,0,90,34,,158,11,81,,,26,,.194,.221,.225,.446,*1/98745,BLN-BRO-BLA-NYG
119,Bid McPhee\mcphebi01,52.5,25.0,1882,1899,22-39,2138,9429,8304,1684,2258,303,189,53,1072,982,,377,87,56,,,568,,.272,.355,.373,.728,*4/985,CIN
120,Joe Medwick\medwijo01,54.3,26.9,1932,1948,20-36,1984,8143,7635,1198,2471,540,113,205,1383,437,39,551,26,44,,203,42,16,.324,.362,.505,.867,*7H/938,STL-BRO-NYG-BSN
121,Johnny Mize\mizejo01,71.3,45.1,1936,1953,23-40,1884,7372,6443,1118,2011,367,83,359,1337,856,70,524,52,20,,99,28,6,.312,.397,.562,.959,*3H/9,STL-NYG-NYY
122,Paul Molitor\molitpa01,75.7,37.4,1978,1998,21-41,2683,12167,10835,1782,3319,605,114,234,1307,1094,100,1244,47,75,109,209,504,131,.306,.369,.448,.817,D543/68H79,MIL-TOR-MIN
123,Joe Morgan\morgajo02,100.5,63.4,1963,1984,19-40,2649,11329,9277,1650,2517,449,96,268,1133,1865,76,1015,40,51,96,105,689,162,.271,.392,.427,.819,*4H/7D58,HOU-CIN-SFG-PHI-OAK
124,Jack Morris\morrija02,-0.1,-0.1,1979,1988,24-33,23,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,*1/*HD,DET
