Rk,Player,WAR/pos,WAA/pos,From,To,Age,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos,Tm
154,Joe Sewell\seweljo01,53.9,23.2,1920,1933,21-34,1903,8333,7132,1141,2226,436,68,49,1054,842,,114,80,275,,,74,72,.312,.391,.413,.804,*65/H4,CLE-NYY
155,Al Simmons\simmoal01,68.0,34.0,1924,1944,22-42,2215,9520,8759,1507,2927,539,149,307,1828,615,2,737,30,111,,23,88,65,.334,.380,.535,.915,*78/H93,PHA-CHW-DET-WSH-BSN-CIN-BOS
156,Ted Simmons\simmote01,50.3,19.0,1968,1988,18-38,2456,9685,8680,1074,2472,483,47,248,1389,855,188,694,39,11,100,287,21,33,.285,.348,.437,.785,*2DH3/759,STL-MIL-ATL
157,George Sisler\sislege01,54.0,22.5,1915,1930,22-37,2055,9018,8267,1284,2812,425,164,102,1178,472,,327,48,226,,,375,127,.340,.379,.468,.847,*3/H197845,SLB-WSH-BSN
158,Enos Slaughter\slaugen01,57.0,24.1,1938,1959,22-43,2380,9087,7946,1247,2383,413,148,169,1304,1018,103,538,37,73,10,139,71,55,.300,.382,.453,.834,*97H/8,STL-KCA-MLN-NYY
159,Ozzie Smith\smithoz01,76.9,42.1,1978,1996,23-41,2573,10778,9396,1257,2460,402,69,28,793,1072,79,589,33,214,63,167,580,148,.262,.337,.328,.666,*6/H,SDP-STL
160,Duke Snider\snidedu01,66.0,34.9,1947,1964,20-37,2143,8237,7161,1259,2116,358,85,407,1333,971,154,1237,21,52,32,166,99,73,.295,.380,.540,.919,*89H/7,BRO-LAD-NYM-SFG
161,Tris Speaker\speaktr01,134.3,88.8,1907,1928,19-40,2789,12020,10195,1882,3514,792,222,117,1531,1381,,393,103,309,,,436,157,.345,.428,.500,.928,*8/H3971,BOS-CLE-WSH-PHA
162,Willie Stargell\stargwi01,57.5,26.6,1962,1982,22-42,2360,9027,7927,1194,2232,423,55,475,1540,937,227,1936,78,9,75,143,17,16,.282,.360,.529,.889,*73H/98,PIT
163,Bill Terry\terrybi01,55.8,33.5,1923,1936,24-37,1721,7111,6428,1120,2193,373,112,154,1078,537,,449,9,137,,38,56,6,.341,.393,.506,.899,*3H/97,NYG
164,Frank Thomas\thomafr04,73.8,39.3,1990,2008,22-40,2322,10075,8199,1494,2468,495,12,521,1704,1667,168,1397,87,0,121,226,32,23,.301,.419,.555,.974,*D3/H,CHW-TOR-OAK
165,Jim Thome\thomeji01,72.9,37.6,1991,2012,20-41,2543,10313,8422,1583,2328,451,26,612,1699,1747,173,2548,69,1,74,165,19,20,.276,.402,.554,.956,3D5H,CLE-CHW-LAD-MIN-BAL-PHI
166,Sam Thompson\thompsa01,44.4,22.5,1885,1906,25-46,1410,6526,5998,1261,1988,343,161,126,1308,452,,234,63,13,,,232,,.331,.384,.505,.890,*9/783,DTN-PHI-DET
167,Joe Tinker\tinkejo01,53.2,30.5,1902,1916,21-35,1806,7166,6441,774,1690,263,114,31,785,416,,526,10,285,,,336,12,.262,.308,.353,.661,*6/5H49,CHC-CIN-CHI
168,Alan Trammell\trammal01,70.7,40.4,1977,1996,19-38,2293,9376,8288,1231,2365,412,55,185,1003,850,48,874,37,124,76,156,236,109,.285,.352,.415,.767,*6/HD5478,DET
169,Pie Traynor\traynpi01,37.3,11.3,1920,1937,21-38,1941,8298,7559,1183,2416,371,164,58,1273,472,,278,31,231,,47,158,46,.320,.362,.435,.797,*5/6H3,PIT
170,Arky Vaughan\vaughar01,78.0,52.3,1932,1948,20-36,1817,7723,6622,1173,2103,356,128,96,926,937,22,276,46,116,,70,118,18,.318,.406,.453,.859,*65H/74,PIT-BRO
171,Rube Waddell\wadderu01,-2.5,-2.5,1897,1910,20-33,410,1139,1066,61,172,29,10,4,83,42,,300,6,23,,,6,,.161,.197,.219,.416,*1/3,LOU-PIT-CHC-PHA-SLB
172,Honus Wagner\wagneho01,130.9,91.8,1897,1917,23-43,2794,11756,10439,1739,3420,643,252,101,1732,963,,735,125,221,,,723,26,.328,.391,.467,.858,*6935/84H71,LOU-PIT
173,Larry Walker\walkela01,72.7,48.3,1989,2005,22-38,1988,8030,6907,1355,2160,471,62,383,1311,913,117,1231,138,7,65,153,230,76,.313,.400,.565,.965,*9H/387D45,MON-COL-STL
174,Bobby Wallace\wallabo01,70.3,34.9,1894,1918,20-44,2383,9625,8618,1057,2309,391,143,34,1121,774,,560,47,173,,,201,10,.268,.332,.358,.690,*65/14H9873,CLV-STL-SLB
175,Ed Walsh\walshed01,2.1,2.0,1904,1917,23-36,459,1173,1085,92,210,38,10,3,68,46,,282,7,30,,,14,1,.194,.231,.255,.486,*1/H798,CHW-BSN
176,Lloyd Waner\wanerll01,27.9,1.7,1927,1945,21-39,1993,8337,7772,1201,2459,281,118,27,598,420,0,173,26,108,,57,67,3,.316,.353,.393,.747,*8H7/945,PIT-CIN-BSN-PHI-BRO
177,Paul Waner\wanerpa01,73.9,39.8,1926,1945,23-42,2549,10767,9459,1627,3152,605,191,113,1309,1091,5,376,38,174,,127,104,6,.333,.404,.473,.878,*9H/378,PIT-BSN-BRO-NYY
178,John Ward\wardjo01,34.3,11.1,1878,1894,18-34,1827,8114,7656,1410,2107,231,96,26,869,421,,326,17,20,,,540,,.275,.314,.341,.655,64189/57,PRO-BWW-BRO-NYG
179,Mickey Welch\welchmi01,-0.8,-1.3,1880,1892,20-32,607,2286,2201,268,492,93,16,12,202,82,,329,3,,,,10,,.224,.252,.297,.549,*1/897,TRO-NYG
180,Zack Wheat\wheatza01,60.1,28.3,1909,1927,21-39,2410,10007,9106,1289,2884,476,172,132,1248,650,,572,77,163,,,205,69,.317,.367,.450,.817,*7/H98,BRO-PHA
181,Deacon White\whitede01,45.7,22.1,1871,1890,23-42,1560,6973,6624,1140,2067,270,98,24,988,308,,221,41,,,8,70,9,.312,.346,.393,.740,*5293/47861,CLE-BOS-CHC-BSN-CIN-BUF-DTN-PIT
182,Billy Williams\willibi01,63.7,27.1,1959,1976,21-38,2488,10519,9350,1410,2711,434,88,426,1475,1045,182,1046,43,8,73,200,90,49,.290,.361,.492,.853,*79D/3H8,CHC-OAK
183,Ted Williams\willite01,121.9,92.9,1939,1960,20-41,2292,9792,7706,1798,2654,525,71,521,1839,2021,243,709,39,5,20,197,24,17,.344,.482,.634,1.116,*79H/1,BOS
184,Vic Willis\willivi01,-3.8,-4.0,1898,1910,22-34,531,1632,1493,107,248,19,4,1,84,81,,199,8,41,,,3,,.166,.213,.186,.399,*1/3H,BSN-PIT-STL
185,Hack Wilson\wilsoha01,38.2,20.7,1923,1934,23-34,1348,5557,4760,884,1461,266,67,244,1063,674,,713,20,102,,15,52,5,.307,.395,.545,.940,*879/H4,NYG-CHC-BRO-PHI
186,Dave Winfield\winfida01,64.2,24.0,1973,1995,21-43,2973,12358,11003,1669,3110,540,88,465,1833,1216,172,1686,25,19,95,319,223,96,.283,.353,.475,.827,*97D8H/35,SDP-NYY-CAL-TOR-MIN-CLE
187,Carl Yastrzemski\yastrca01,96.4,50.2,1961,1983,21-43,3308,13992,11988,1816,3419,646,59,452,1844,1845,190,1393,40,13,105,323,168,116,.285,.379,.462,.841,*73D8/H59,BOS
188,Cy Young\youngcy01,-2.0,-2.1,1890,1911,23-44,918,3104,2960,325,623,87,35,18,290,81,,381,10,50,,,29,,.210,.234,.282,.516,*1/3H,CLV-STL-BOS-CLE-BSN
189,Ross Youngs\youngro01,32.3,15.8,1917,1926,20-29,1211,5337,4627,812,1491,236,93,42,592,550,,390,37,119,,,153,83,.322,.399,.441,.839,*9/4H87,NYG
190,Robin Yount\yountro01,77.3,37.4,1974,1993,18-37,2856,12249,11008,1632,3142,583,126,251,1406,966,95,1350,48,104,123,217,271,105,.285,.342,.430,.772,*68D/7H3,MIL
